country,iso3c,year,prevalence,iso2c,gdp_percap,population,birth_rate,neonat_mortal_rate,region,income
Afghanistan,AFG,1990,318435.8137,AF,NA,12067570,49.029,52.8,South Asia,Low income
Afghanistan,AFG,1991,329044.774,AF,NA,12789374,48.896,51.9,South Asia,Low income
Afghanistan,AFG,1992,382544.5729,AF,NA,13745630,48.834,50.9,South Asia,Low income
Afghanistan,AFG,1993,440381.5074,AF,NA,14824371,48.839,49.9,South Asia,Low income
Afghanistan,AFG,1994,456916.6455,AF,NA,15869967,48.898,49.1,South Asia,Low income
Afghanistan,AFG,1995,471475.202,AF,NA,16772522,48.978,48.2,South Asia,Low income
Afghanistan,AFG,1996,486916.2202,AF,NA,17481800,49.039,47.5,South Asia,Low income
Afghanistan,AFG,1997,499770.4095,AF,NA,18034130,49.036,47,South Asia,Low income
Afghanistan,AFG,1998,509695.4476,AF,NA,18511480,48.93,46.1,South Asia,Low income
Afghanistan,AFG,1999,503304.902,AF,NA,19038420,48.699,45.6,South Asia,Low income
Afghanistan,AFG,2000,501129.0678,AF,NA,19701940,48.332,45.2,South Asia,Low income
Afghanistan,AFG,2001,506530.4469,AF,NA,20531160,47.835,44.5,South Asia,Low income
Afghanistan,AFG,2002,537767.0821,AF,895.5991488,21487079,47.23,43.9,South Asia,Low income
Afghanistan,AFG,2003,573188.2514,AF,945.6869299,22507368,46.538,43.2,South Asia,Low income
Afghanistan,AFG,2004,590949.5071,AF,940.476299,23499850,45.761,42.5,South Asia,Low income
Afghanistan,AFG,2005,623487.5776,AF,1039.408242,24399948,44.887,41.7,South Asia,Low income
Afghanistan,AFG,2006,639957.2566,AF,1095.655628,25183615,43.893,41,South Asia,Low income
Afghanistan,AFG,2007,656546.7382,AF,1245.059223,25877544,42.779,40.4,South Asia,Low income
Afghanistan,AFG,2008,689212.4448,AF,1283.040986,26528741,41.56,39.8,South Asia,Low income
Afghanistan,AFG,2009,714860.3933,AF,1525.517054,27207291,40.265,39.1,South Asia,Low income
Afghanistan,AFG,2010,745997.8516,AF,1629.16729,27962207,38.94,38.7,South Asia,Low income
Afghanistan,AFG,2011,782022.1111,AF,1712.58872,28809167,37.636,38.1,South Asia,Low income
Afghanistan,AFG,2012,814832.3036,AF,1934.285634,29726803,36.396,37.4,South Asia,Low income
Afghanistan,AFG,2013,852849.1158,AF,1941.898323,30682500,35.253,36.8,South Asia,Low income
Afghanistan,AFG,2014,884404.6832,AF,1939.954125,31627506,34.225,36.1,South Asia,Low income
Afghanistan,AFG,2015,906133.4339,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2016,932188.7307,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,2017,967281.2032,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,1990,60014.25125,AL,2748.622728,3286542,24.789,13.4,Europe & Central Asia,Upper middle income
Albania,ALB,1991,60791.80779,AL,2011.841715,3266790,24.173,13.2,Europe & Central Asia,Upper middle income
